nif,nome,telefone,morada,especialidade
372981506,Rodrigo Pires,967851502,"Alameda Nascimento 74, 5708-706 Ovar",ortopedia
116225199,Gaspar de Castro,938072670,"Largo Marques 18, 0980-155 Vila Nova de Gaia",cardiologia
361983914,Carminho Nunes,938414514,"Praça Rocha 92, 5880-255 Fafe",cardiologia
154981741,Gil Gonçalves,930604524,"Largo da Baleia 66, 4950-134 Vila Nova de Foz Côa",pediatria
204090161,Victória-Erika Sousa,966141638,"Rua Fonseca 31, 8433-147 Trofa",cirurgia geral
203396217,Clara Nunes,918355869,"Largo Leal 38, 7500-562 Valongo",cardiologia
323216684,Luísa Marques,937127889,"Rua Francisco Pinho 9, 4730-575 Leiria",pediatria
184751350,Wilson Cruz,918804235,"Avenida Pequeno 18, 3182-083 Santo Tirso",pediatria
200495765,Júlia-Eduarda Garcia,936851652,"Largo João Jayme Faria Affonso 41, 3949-697 Almada",psiquiatria
161159714,André Borges,969104856,"Alameda Teixeira 65, 6387-998 Vizela",pediatria
339875428,Vera-Alexandra Nunes,964554588,"Travessa Melissa Neves 79, 4409-077 Loulé",psiquiatria
134335141,Renata Valente,960812555,"Largo de S. Francisco de Borja 726, 1504-804 Alcobaça",psiquiatria
271953640,Brian Moura,969174775,"Avenida de Cruz 215, 2469-530 Torres Vedras",ortopedia
252594351,Mia Gonçalves,936190208,"Alameda de Marques 27, 6390-933 Reguengos de Monsaraz",ortopedia
189991330,Madalena Soares,967943955,"Travessa Sofia Valente 50, 7220-568 Trofa",pediatria
236148110,Violeta Neves,915647958,"Travessa Oliveira 146, 1718-394 Praia da Vitória",psiquiatria
304577218,Adriana Borges,918202439,"Rua Branco 20, 0060-100 Viana do Castelo",pediatria
351822225,Soraia Melo,962126901,"Avenida Pacheco 8, 4498-843 Lagoa",psiquiatria
141894232,Helena Nunes,918413419,"Praça Brian Jesus 26, 9281-233 Oliveira de Azeméis",cardiologia
180598324,Íris Vaz,918113286,"Rua de Araújo 42, 4509-173 Gandra",pediatria
368203417,Lúcia-Bárbara Rodrigues,910957433,"Avenida Soraia Vaz 150, 3448-630 Gouveia",ortopedia
368487870,Jéssica Cruz,969736758,"Praça de Silva 76, 6375-291 Bragança",pediatria
265247069,Adriana Freitas-Rocha,963714630,"Largo de Loureiro 67, 5678-052 Funchal",cirurgia geral
100592922,Débora da Pinto,918687169,"Rua Carlota Rodrigues 322, 9435-524 Oliveira do Hospital",cardiologia
