nif,nome,dia_da_semana
197298063,JCS Queijas,3
197298063,JCS Dafundo,2
197298063,JCS Brandoa,4
351396937,JCS Almirante Reis,2
351396937,JCS Almirante Reis,3
351396937,JCS Queijas,4
351396937,JCS Brandoa,7
351396937,JCS Brandoa,1
351396937,JCS Venda Nova,5
351396937,JCS Venda Nova,6
316487059,JCS Dafundo,2
316487059,JCS Dafundo,4
316487059,JCS Dafundo,3
316487059,JCS Dafundo,7
316487059,JCS Dafundo,6
316487059,JCS Venda Nova,1
316487059,JCS Almirante Reis,5
164023592,JCS Queijas,6
164023592,JCS Queijas,1
164023592,JCS Queijas,3
164023592,JCS Queijas,5
164023592,JCS Queijas,2
164023592,JCS Queijas,7
164023592,JCS Almirante Reis,4
256341685,JCS Queijas,6
256341685,JCS Queijas,1
256341685,JCS Dafundo,7
256341685,JCS Dafundo,3
256341685,JCS Dafundo,5
256341685,JCS Dafundo,4
256341685,JCS Almirante Reis,2
387831012,JCS Dafundo,1
387831012,JCS Dafundo,3
387831012,JCS Brandoa,4
387831012,JCS Brandoa,5
387831012,JCS Brandoa,7
122834598,JCS Almirante Reis,7
122834598,JCS Almirante Reis,3
122834598,JCS Almirante Reis,1
122834598,JCS Almirante Reis,4
122834598,JCS Brandoa,2
122834598,JCS Venda Nova,6
122834598,JCS Dafundo,5
245551439,JCS Dafundo,6
245551439,JCS Dafundo,1
245551439,JCS Dafundo,2
245551439,JCS Dafundo,5
245551439,JCS Dafundo,4
245551439,JCS Almirante Reis,7
245551439,JCS Venda Nova,3
372981506,JCS Venda Nova,7
372981506,JCS Venda Nova,1
372981506,JCS Dafundo,2
372981506,JCS Almirante Reis,5
372981506,JCS Almirante Reis,3
372981506,JCS Brandoa,4
372981506,JCS Queijas,6
116225199,JCS Almirante Reis,4
116225199,JCS Almirante Reis,1
116225199,JCS Almirante Reis,2
116225199,JCS Brandoa,7
116225199,JCS Brandoa,5
116225199,JCS Queijas,3
116225199,JCS Dafundo,6
361983914,JCS Venda Nova,2
361983914,JCS Dafundo,5
361983914,JCS Dafundo,6
361983914,JCS Dafundo,3
361983914,JCS Dafundo,1
361983914,JCS Almirante Reis,7
154981741,JCS Almirante Reis,5
154981741,JCS Dafundo,1
154981741,JCS Dafundo,3
154981741,JCS Dafundo,2
154981741,JCS Venda Nova,7
154981741,JCS Brandoa,4
204090161,JCS Queijas,4
204090161,JCS Queijas,6
204090161,JCS Queijas,1
204090161,JCS Brandoa,5
204090161,JCS Almirante Reis,3
204090161,JCS Venda Nova,2
204090161,JCS Dafundo,7
203396217,JCS Brandoa,1
203396217,JCS Brandoa,4
203396217,JCS Brandoa,5
203396217,JCS Brandoa,2
203396217,JCS Queijas,6
203396217,JCS Queijas,7
203396217,JCS Venda Nova,3
323216684,JCS Venda Nova,5
323216684,JCS Venda Nova,4
323216684,JCS Queijas,6
323216684,JCS Queijas,7
323216684,JCS Dafundo,3
323216684,JCS Dafundo,2
184751350,JCS Venda Nova,3
184751350,JCS Venda Nova,2
184751350,JCS Venda Nova,4
184751350,JCS Venda Nova,5
184751350,JCS Queijas,1
184751350,JCS Brandoa,6
184751350,JCS Almirante Reis,7
200495765,JCS Brandoa,7
200495765,JCS Brandoa,2
200495765,JCS Brandoa,1
200495765,JCS Dafundo,4
200495765,JCS Almirante Reis,6
200495765,JCS Venda Nova,5
161159714,JCS Almirante Reis,7
161159714,JCS Almirante Reis,2
161159714,JCS Dafundo,1
161159714,JCS Dafundo,5
161159714,JCS Queijas,3
161159714,JCS Brandoa,6
161159714,JCS Brandoa,4
339875428,JCS Brandoa,3
339875428,JCS Brandoa,1
339875428,JCS Brandoa,4
339875428,JCS Venda Nova,6
339875428,JCS Venda Nova,5
339875428,JCS Almirante Reis,7
339875428,JCS Almirante Reis,2
134335141,JCS Almirante Reis,5
134335141,JCS Almirante Reis,1
134335141,JCS Almirante Reis,3
134335141,JCS Brandoa,4
134335141,JCS Venda Nova,7
134335141,JCS Queijas,6
134335141,JCS Dafundo,2
271953640,JCS Venda Nova,2
271953640,JCS Venda Nova,7
271953640,JCS Almirante Reis,5
271953640,JCS Brandoa,3
271953640,JCS Brandoa,1
271953640,JCS Queijas,4
271953640,JCS Queijas,6
252594351,JCS Almirante Reis,4
252594351,JCS Venda Nova,5
252594351,JCS Venda Nova,3
252594351,JCS Venda Nova,6
252594351,JCS Venda Nova,2
189991330,JCS Queijas,7
189991330,JCS Queijas,1
189991330,JCS Queijas,2
189991330,JCS Queijas,3
189991330,JCS Queijas,4
189991330,JCS Almirante Reis,6
189991330,JCS Almirante Reis,5
236148110,JCS Dafundo,5
236148110,JCS Almirante Reis,6
236148110,JCS Almirante Reis,1
304577218,JCS Brandoa,5
304577218,JCS Brandoa,7
304577218,JCS Brandoa,3
304577218,JCS Queijas,6
304577218,JCS Queijas,2
351822225,JCS Brandoa,5
351822225,JCS Brandoa,3
351822225,JCS Brandoa,1
351822225,JCS Almirante Reis,4
351822225,JCS Queijas,7
351822225,JCS Dafundo,2
351822225,JCS Venda Nova,6
141894232,JCS Almirante Reis,2
141894232,JCS Almirante Reis,5
141894232,JCS Almirante Reis,7
141894232,JCS Almirante Reis,3
141894232,JCS Dafundo,6
141894232,JCS Brandoa,4
141894232,JCS Brandoa,1
180598324,JCS Queijas,5
180598324,JCS Queijas,3
180598324,JCS Venda Nova,2
180598324,JCS Dafundo,1
180598324,JCS Dafundo,6
180598324,JCS Dafundo,4
180598324,JCS Brandoa,7
368203417,JCS Almirante Reis,7
368203417,JCS Almirante Reis,2
368203417,JCS Almirante Reis,3
368203417,JCS Almirante Reis,5
368203417,JCS Brandoa,6
368203417,JCS Venda Nova,4
368203417,JCS Dafundo,1
368487870,JCS Almirante Reis,1
368487870,JCS Queijas,6
368487870,JCS Queijas,4
265247069,JCS Queijas,7
265247069,JCS Queijas,5
265247069,JCS Queijas,1
265247069,JCS Queijas,6
265247069,JCS Venda Nova,4
265247069,JCS Brandoa,2
265247069,JCS Dafundo,3
100592922,JCS Dafundo,5
100592922,JCS Almirante Reis,4
100592922,JCS Almirante Reis,6
100592922,JCS Almirante Reis,7
100592922,JCS Queijas,1
100592922,JCS Brandoa,2
100592922,JCS Brandoa,3
168387380,JCS Brandoa,3
