ssn,nif,nome,telefone,morada,data_nasc
18484751350,155473519,Iara Sá,963743582,"Avenida de Oliveira 852, 0552-987 Fiães",1933-02-08
60495765611,274276494,Nelson Fonseca,939773366,"Alameda de Arnaldo Gama 57, 0690-117 Loures",2008-09-04
39714398754,334230533,Luna Branco,917255001,"Rua de Silva 76, 8361-340 Fafe",1962-02-26
28343351417,192710936,Benedita Simões,961461922,"Largo Pires 65, 3167-446 Macedo de Cavaleiros",1986-04-24
59536405259,256817755,Mafalda Domingues,965306386,"Rua do Adamastor 4, 1217-411 Póvoa de Varzim",1994-01-11
13518999133,316662090,Matilde-Rafaela Ribeiro,931166164,"Travessa Garcia 46, 7161-756 Santa Comba Dão",1981-12-27
63614811004,182128673,Beatriz Campos,961594390,"Alameda de D. João II 24, 9726-165 Fafe",1976-04-14
37721851822,358168193,Ricardo Oliveira,936418655,"Travessa de Vaz 506, 2683-417 Vale de Cambra",1979-07-31
92541894232,187692664,Gabriela-Ana Baptista,937957014,"Largo de Esteves 235, 1703-477 Amarante",1941-07-04
10598324682,267565011,Sofia-Érica Leite,913252731,"Avenida Nunes 708, 1774-413 Paços de Ferreira",1930-09-30
83417684878,200056304,Nair Batista,933488579,"Travessa Valentina Soares 94, 1920-438 Tavira",1942-07-24
10652470690,366341983,Carlota Leal,915796696,"Alameda de Correia 157, 6094-048 Funchal",1959-08-22
75929224469,134633536,Margarida Ribeiro,969177714,"Avenida Isabela Sá 91, 0592-790 Sabugal",1949-02-04
82913702858,222784748,Rodrigo Lopes-Brito,932424264,"Avenida Ana Matos 1, 1163-636 Seia",2014-11-26
53357736589,145996531,Helena Amaral,964401325,"Largo Fernando Valle 772, 5367-017 Matosinhos",1985-10-16
53018528344,323554999,Raquel Magalhães,934309287,"Alameda Maria da Luz Ponces de Carvalho 15, 2784-446 Gafanha da Nazaré",1958-06-21
78527911989,184511306,Maria Borges,960169038,"Travessa Gomes 1, 3885-706 Peso da Régua",1954-12-18
72246390765,230664298,Paulo Gonçalves,915354390,"Alameda da Cova da Moura 10, 5222-199 Porto",1967-07-29
38280814141,285016196,Alexandra Tavares,919358466,"Praça Enzo Amaral 92, 9293-460 Lamego",1948-08-31
39173666257,115111866,Rodrigo Gaspar,961426422,"Largo do Freixo 342, 3283-992 Lamego",2003-11-24
59731698614,266964988,Mariana-Diana Faria,914259562,"Rua de Henriques 12, 2610-084 Quarteira",2021-12-31
43680387900,340423948,Luana Barbosa-Brito,930330562,"Rua de Teixeira 54, 4475-855 Beja",2011-10-14
54324283449,321898309,Kevin Paiva,918873712,"Alameda da Arrábida 74, 1912-776 Queluz",1978-10-26
47285761396,192762456,Nair Sousa,963028192,"Praça Núria Ribeiro 82, 8920-592 Marco de Canaveses",1919-09-11
94101908421,141496901,Nair Correia,914811826,"Alameda do Buraco 38, 0263-242 Porto Santo",1942-03-14
85946858501,338311583,Bárbara Fonseca,965125638,"Rua Reis 6, 0914-433 Odivelas",1989-12-15
77548659716,358992938,Juliana Henriques,913362181,"Praça Naiara Nunes 33, 9263-187 Valongo",1932-09-19
73804983798,276366265,Mélanie Fonseca,932950024,"Praça do Báltico 456, 0603-871 Serpa",1956-02-08
74279835806,120994797,Igor Jesus,965920166,"Travessa Emanuel Tavares 6, 0356-875 Gandra",2021-07-06
36599173406,340221708,Fabiana Teixeira-Pires,914669696,"Travessa de Abreu 65, 9966-059 Funchal",1962-09-27
56421905468,289189590,William Faria,966994279,"Rua do Viso 61, 1130-115 Porto",2013-08-12
22747278048,310137024,Letícia Alves,933665373,"Praça Ricardo Loureiro 97, 5836-436 Seixal",1964-05-19
29615170282,375493012,Violeta da Cunha,930122233,"Rua de Vasco da Gama 620, 5130-944 Santa Maria da Feira",1915-12-11
26494383354,365433854,Marta Vaz,968218391,"Praça de Ribeiro 63, 2442-112 Lagoa",1982-07-30
51857880248,216585681,Álvaro Henriques,918731495,"Travessa Oliveira 343, 4979-561 Cantanhede",1978-08-06
65936862749,326432174,Denis Leal,930325501,"Largo Matilde Nunes 161, 9984-610 Porto",1920-04-03
53493096563,366619943,Daniela Simões,910724304,"Rua Ribeirinhos 31, 8168-928 Caniço",1960-03-28
93129792947,197237673,Catarina-Leonor Cunha,966176815,"Travessa Helena Melo 70, 1743-992 Almada",2017-12-11
52227546313,265929930,Luana Abreu,962037265,"Praça dos Melros 95, 4416-638 Santarém",1976-07-20
11136571200,253585189,Bruna Ribeiro,913554726,"Avenida Mauro Teixeira 6, 1502-665 Mêda",1917-08-18
33078975419,332455327,Erika Barbosa,938173540,"Largo Gaspar 1, 8371-535 Pombal",1959-04-19
51363776233,212331558,Erica Brito,963489842,"Rua Rodrigues 62, 6846-261 Barcelos",1968-02-28
27896374579,360555209,Teresa de Almeida,935487225,"Avenida Marques 12, 1326-003 Vila do Conde",1977-06-08
43100075694,200630396,Soraia Andrade,961778614,"Rua Melissa Torres 18, 1268-402 Olhão",1978-09-10
76220062809,323886667,Rita Gaspar-Leal,912313940,"Travessa de Sousa 45, 6449-595 Santana",2011-04-09
34217400808,116713618,Núria Soares,935964473,"Rua de Correia 11, 5190-284 Chaves",1916-01-08
40416130724,271734362,Alexandre Pires,917857322,"Alameda Pedro Macedo 381, 8064-216 Santa Maria da Feira",1944-01-30
37654433099,160756254,Ivo Freitas,938388564,"Rua do Forno Velho 147, 0452-904 Cartaxo",1956-06-23
45698805868,305800266,Vera Lourenço,937494631,"Travessa Flor Loureiro 68, 1659-688 São João da Madeira",1988-09-05
18614914212,254669369,Noa Fernandes-Tavares,931108318,"Largo Sérgio Abreu 5, 8208-063 Câmara de Lobos",1939-12-31
63600187851,243547572,Diogo da Marques,912596303,"Travessa Mia Barros 14, 7022-012 Vila Nova de Gaia",2023-03-06
50280726708,368781589,Emanuel Matos,965973412,"Alameda de S. João da Foz 6, 5674-900 Braga",1996-08-25
31451406045,182223470,Dinis Melo,910618900,"Avenida de Vasco da Gama 525, 2752-613 Fiães",1979-02-16
64614163883,234409800,Lourenço Rocha,914319635,"Avenida Erica Pereira 64, 3752-305 Faro",2005-10-14
95869712788,315784676,Pilar Matias,962645670,"Largo Leite 222, 5411-907 Sabugal",2020-03-13
78042356851,369758917,Caetana-Helena Branco,917043191,"Rua dos Aventureiros 26, 8120-025 Silves",1971-12-06
65291048564,345979712,Júlia Cardoso,967584538,"Avenida Rúben Domingues 73, 3547-511 Estremoz",2009-11-05
65458808125,358381838,Letícia Pinho,932313953,"Praça Henriques 578, 1807-570 Paços de Ferreira",1961-09-22
15917477561,281918412,Leonor-Mafalda Gonçalves,914785500,"Avenida de São Vicente 5, 1345-015 Rio Tinto",1919-08-31
62087943955,119540810,Carminho Carneiro,919945382,"Rua Pacheco 595, 4987-838 Alverca do Ribatejo",1993-03-31
56479588202,282588575,Camila Magalhães-Garcia,968541090,"Rua Figueiredo 57, 5062-599 Costa da Caparica",1954-05-15
53921269018,351263116,Diego Campos,938306778,"Rua de Anjos 740, 8089-164 Praia da Vitória",2006-01-08
91341981132,379752627,Ivo Abreu-Mota,930379597,"Praça Henrique Sá 212, 0976-940 Ribeira Grande",1917-05-18
46095743397,142647418,Kevin Mota,938025052,"Rua de Barros 217, 1766-498 Abrantes",2000-09-29
16758371463,164093662,Diogo Domingues,968617126,"Largo Rita Moura 99, 7747-145 Valongo",1956-12-02
78687169899,330762103,Lorena Sá,932581142,"Avenida Alexandre Machado 72, 0505-090 Cartaxo",1980-08-08
90570340814,296323001,Nelson Correia-Simões,916459187,"Praça de Figueiredo 77, 7494-853 Matosinhos",1998-04-17
55898486886,278978193,Igor Sousa,960043260,"Praça de Moura 76, 1392-522 Mirandela",1938-08-14
17428792824,220286641,Lourenço da Azevedo,969023335,"Rua Gonçalves 658, 0474-914 Ponte de Sor",1913-12-09
16905664011,387740374,Ângelo Faria,963183132,"Travessa Ricardo Barros 88, 1267-874 São João da Madeira",1989-10-30
86474575671,149791595,Mariana Tavares-Carneiro,930524544,"Alameda Lorena Rocha 285, 2334-163 Barcelos",1960-10-26
55262024529,257316794,Lúcia Valente,937800508,"Avenida de Tavares 61, 6150-251 Funchal",2002-01-26
86484646573,152177710,Rui Vieira,914262871,"Praça Bruno Valente 171, 0277-326 Valbom",1939-05-04
56611232301,235112726,Patrícia Almeida,962691536,"Travessa Lourenço 85, 8863-950 Alcobaça",1948-04-15
92716201690,358923561,Clara Branco,919670088,"Travessa dos Pinheiros 156, 2917-330 Ovar",2007-11-15
53865018614,335855124,Gil Loureiro,966158666,"Rua Enzo Nogueira 50, 8318-349 Vale de Cambra",1996-07-23
82703161748,318641164,Lúcia-Érica Neves,966488764,"Largo da Carvalhosa 7, 9112-838 Torres Vedras",1950-09-22
96197126932,355355318,Carlos Magalhães-Neto,914356789,"Praça de Santo Eugénio 67, 7831-297 Elvas",1970-10-10
24684783957,290657855,Kévim Barbosa-Andrade,961289338,"Rua Frederico Pereira 70, 0332-918 Lisboa",2011-10-05
50540874138,381964626,Cláudio Gomes,911710486,"Avenida dos Flamingos 78, 5762-356 Figueira da Foz",1986-03-26
14362243689,195052782,Carlos Torres,967186962,"Avenida de Cardoso 168, 5429-284 Bragança",1935-05-10
88982644744,153737427,Rodrigo da Costa,930598018,"Rua Núria Soares 14, 1507-703 Almada",1967-11-08
83759735292,312073267,Luísa Garcia,910521373,"Avenida de Silva 39, 3775-422 Alcácer do Sal",1918-10-09
88208582359,106290996,Santiago Batista,911408498,"Praça dos Olivais 8, 7029-894 Miranda do Douro",1944-12-08
37512243180,114450947,Kelly Macedo-Pinto,939866214,"Avenida Futebol Clube do Porto 33, 5724-020 Rebordosa",1941-07-04
11393894650,199929663,Eduardo Ramos,967208210,"Rua de Lopes 30, 0474-612 Praia da Vitória",1934-03-17
74931345498,316636520,Andreia Reis,912340007,"Travessa Silva 1, 9893-681 Fafe",2018-02-11
60155214290,365895007,Ismael Abreu,933442527,"Avenida Lourenço 50, 2009-143 Póvoa de Varzim",1940-07-09
11114534805,176321468,Rodrigo Matias,911118337,"Avenida de Henriques 38, 6202-566 Paredes",1939-03-21
61265315408,232400528,Rita Vieira,913955709,"Praça de Almeida 15, 2489-301 Viseu",1925-12-21
81529461998,386337626,Carlos Branco-Neto,938959970,"Travessa Ismael Rodrigues 38, 2190-299 Vizela",1949-11-10
99686434820,278385683,Benedita Ramos,962864808,"Alameda de Andrade 51, 3439-453 Covilhã",2023-07-08
51233648048,341532284,Frederico Martins,933352441,"Avenida Coelho 6, 5114-307 Costa da Caparica",1984-12-09
98472615185,211112167,Mário Coelho,961905725,"Alameda de Almeida 33, 1289-543 Guimarães",2003-08-01
38890947221,253394460,Rúben Costa,911194170,"Rua Gustavo Lima 15, 1665-241 Olhão",2002-11-16
23755422676,292839037,Bryan Nunes,965941378,"Avenida de Ulisses 1, 2950-148 Rio Tinto",1941-06-23
99244908026,376524004,Tomás Morais,918741475,"Avenida Adão Barata 91, 9308-814 Covilhã",2015-01-02
81706964566,356487437,Valentina da Jesus,919087250,"Praça Pinto 34, 6700-168 Lisboa",2017-12-17
90170001928,385803511,Vera Mendes,961674432,"Avenida Daniela Loureiro 135, 4704-011 Figueira da Foz",1914-02-04
95849573931,397262606,Sara Carneiro,939816992,"Alameda Araújo 38, 4585-467 Sines",1971-02-16
75210565409,124507091,Samuel Fonseca,930764321,"Alameda da Agra do Amial 27, 1888-808 Tarouca",1940-04-24
16654573982,259016779,David Nascimento,935256315,"Avenida de Pinho 12, 1863-907 Entroncamento",1963-12-02
85182875190,322877467,Mateus Valente,916247215,"Avenida Carlota Ramos 42, 9684-632 Santiago do Cacém",2014-09-30
83626313553,388676437,Rafael Mendes-Henriques,919514115,"Avenida de Palma 50, 7549-066 Coimbra",2008-12-02
87573676819,105068949,Erika Antunes-Lopes,960007271,"Avenida de Machado 1, 6883-713 Gondomar",1935-11-09
84220661012,333211044,Daniela Gonçalves,932150082,"Avenida Sofia Fonseca 95, 8862-693 Sintra",1940-05-09
76842281407,376974557,Helena da Antunes,915093334,"Largo Ângela Ribeiro 8, 9650-038 Caldas da Rainha",1947-01-12
43860836225,120807422,Amélia Maia,931252984,"Travessa Camila Cruz 71, 9535-298 Ponte de Sor",1979-02-10
71882269083,272677001,Luana Gomes,916130342,"Largo Lourenço 75, 8373-491 Valpaços",1944-10-20
83083898136,164198748,Joel Gonçalves,912942443,"Rua Gabriela Barros 432, 2607-665 Figueira da Foz",1934-02-05
41906181708,252997216,Micael Oliveira,913379723,"Largo de Vieira 11, 6916-804 Paços de Ferreira",1948-06-24
60047462928,210692313,Ivan Pires-Azevedo,913470940,"Avenida Salomé Gomes 478, 8089-000 Póvoa de Santa Iria",1989-05-28
58786826637,330598227,Vasco Fernandes,960731706,"Travessa Torres 6, 5291-324 Ribeira Grande",1990-04-01
35249429155,366104925,Rúben Pinto,960278376,"Rua de Adelino Amaro da Costa 98, 5621-438 Valongo",1936-10-03
34445649702,105326165,Érica Domingues,930012379,"Avenida Nunes 8, 1507-987 Câmara de Lobos",1954-01-29
44331989386,346078624,Guilherme Baptista-Azevedo,963716552,"Rua da Banda de Ramalde 186, 9857-961 Lixa",1928-06-14
19287631120,296093936,Nuno Henriques,966622639,"Rua da Rainha 2, 2128-151 Sacavém",2013-12-08
46662992881,240738521,Iara Pinho,938260805,"Travessa de Cruz 75, 1852-118 Estarreja",1939-01-05
66243652342,260707672,Amélia Macedo-Matos,939016975,"Alameda do Lagarteiro 687, 1630-682 Gouveia",1954-01-16
27841843704,292253966,Mariana do Teixeira,964916359,"Travessa Fernandes 97, 6204-721 Vila Real",2016-06-25
29574900522,299180865,Alexandra Valente-Rocha,962925379,"Travessa de Caselas 88, 2906-263 Santa Maria da Feira",2004-05-03
71693388613,131454083,Afonso Magalhães,962524753,"Travessa Matos 29, 8679-298 Marinha Grande",1951-12-09
98294013967,306696930,Caetana Rocha,914505322,"Rua Mauro Gomes 85, 7711-917 Gandra",1922-10-27
79340288364,313995507,Fábio Amorim,918404051,"Rua Naiara Amorim 75, 6395-431 Póvoa de Santa Iria",1966-04-05
86471228070,391555455,José Silva-Pires,939799438,"Avenida Fonseca 895, 3613-780 Silves",1990-07-07
43685311067,362930893,Diogo Leal,917756977,"Praça de Azevedo 129, 9438-731 Quarteira",1932-04-25
62983868533,244482439,Rafael Barros,968187614,"Rua Campos 3, 7105-261 Ovar",1913-09-02
89150709224,243387077,Adriana Campos-Magalhães,914598108,"Travessa Pilar Melo 17, 3615-029 Funchal",1987-12-19
50981961689,325128679,João Silva,913885552,"Travessa do Professor Egas Moniz 574, 4812-127 Praia da Vitória",2015-11-19
66457087064,189733544,Guilherme Baptista,966264268,"Avenida Ferreira de Mira 1, 6733-661 Beja",1952-10-26
92998419566,188316766,Enzo Silva-Gaspar,935126961,"Avenida Assunção 79, 9227-550 Rebordosa",2010-11-18
60991098015,395409853,André Antunes,918037464,"Alameda Azevedo 1, 8006-448 Portalegre",1983-07-19
65805917187,119110815,Filipa-Débora Nascimento,963380465,"Avenida dos Cruzados 19, 5178-995 Sabugal",2005-12-29
28802553292,375097118,Mara Torres-Silva,964055173,"Avenida de Antunes 65, 0761-459 Guarda",1994-06-20
26586554950,361657704,Lara Machado-Esteves,910150855,"Rua Tomás Moreira 70, 1934-820 Barreiro",1977-02-12
53468499112,165059158,Gonçalo Alves-Rocha,939294319,"Alameda Enzo Domingues 36, 4715-788 Câmara de Lobos",1910-06-11
86124843314,147590040,Enzo Baptista,967642579,"Rua de Rodrigues 88, 0773-677 Câmara de Lobos",1959-09-18
90843818554,325180772,Marcos de Fonseca,914890217,"Rua de Barros 57, 7730-124 Vila Nova de Foz Côa",1984-09-22
12075005628,267601389,Beatriz Machado-Guerreiro,933433335,"Avenida Eduarda Azevedo 95, 3777-364 Póvoa de Santa Iria",1976-12-22
99862331929,161623322,Larissa Valente,967993520,"Avenida Anita Mendes 25, 7790-470 Rio Maior",1970-07-19
41473057595,328050156,Jorge Lopes,917805516,"Travessa Valente 2, 5113-520 Tarouca",1929-03-04
20070248003,105517332,Sérgio de Jesus,968935618,"Rua da Asprela 25, 1105-558 Portimão",1953-12-01
98208337437,156636122,Lorena Barbosa,913557744,"Largo Costa 1, 6206-035 Santa Cruz",1949-10-25
75561392394,172300825,Matilde Ramos,965846763,"Travessa do Codeçal 127, 5287-128 Porto",2009-06-11
69750701996,297267458,António Santos,918896931,"Largo Benedita Moura 154, 0379-663 Sines",1908-12-09
85163879988,188588231,Gabriel Sousa-Mota,938709118,"Largo Mateus Jesus 977, 3546-891 Anadia",1996-09-04
79979724849,261533467,Nair-Joana Gonçalves,963776325,"Rua Leal 325, 0460-616 Mealhada",1955-02-10
69844409077,122358558,Carlota Moreira,962758833,"Alameda Afonso de Albuquerque 55, 9995-903 Torres Vedras",1948-02-14
23873752660,223483524,Emma Matias-Marques,934769803,"Largo Gustavo Pires 643, 2265-704 Anadia",1997-04-20
55048046055,105584016,Filipa do Carneiro,937507840,"Praça Soraia Domingues 80, 3278-060 Fafe",1927-12-31
69031511246,368962856,Lúcia-Rita Vieira,962719861,"Praça de Freitas 86, 6507-862 Vila Nova de Foz Côa",1988-10-09
93028954466,188448758,Iara Pereira-Tavares,912006132,"Largo de Cima 588, 9837-834 Fafe",1965-12-21
47136390933,253061418,André Henriques-Azevedo,938635920,"Rua Andrade 5, 7333-919 Funchal",2019-06-13
86639245047,263424445,Jaime Mendes,938905063,"Largo Bianca Lopes 90, 1007-217 Póvoa de Varzim",2018-08-16
22205685875,117812946,Brian Marques,919496496,"Rua Mendes 82, 6323-110 Quarteira",1938-03-17
99484604171,115615497,Nair Tavares,937433240,"Avenida Francisca Leite 119, 3829-807 Odivelas",2003-07-24
93946530198,106879075,Xavier Correia-Ramos,934336806,"Rua João Esteves 19, 0289-005 Figueira da Foz",1953-07-18
18224013006,203262281,Patrícia Leite,916651352,"Travessa César Fernandes 88, 7379-215 Barreiro",1929-10-05
91000855090,344924960,André Barbosa,936737127,"Avenida Íris Gaspar 45, 4625-763 Torres Novas",2010-04-21
33734498843,153500058,Jorge Soares,919484991,"Rua Gomes 32, 3364-564 Estremoz",1944-03-08
23603870556,312514666,João Soares,961769639,"Praça Gabriela Faria 6, 5508-264 Vila Nova de Famalicão",1943-03-24
20928123324,214220215,Brian Monteiro,934151167,"Avenida Artur Agostinho 841, 4750-088 Mangualde",2004-10-10
10521723045,393239822,Márcio Nunes,932850217,"Alameda Matos 41, 2686-901 Chaves",1921-11-26
29173321030,390426741,Ismael Figueiredo,967546059,"Rua de Cima 182, 2509-298 Portalegre",1920-08-23
61344863043,257510888,Kyara Ribeiro,917799707,"Praça Costa 125, 1741-128 Sabugal",2004-12-18
65579661637,246526725,Rodrigo Ribeiro,915380695,"Avenida dos Pinheiros ao Parque das Nações 189, 0876-746 Freamunde",1981-07-05
62913164845,386923808,Wilson Barros,932452369,"Rua de Abreu 37, 1366-264 Oliveira do Bairro",1964-10-21
36755567805,294642542,Íris Morais,939231133,"Rua de Jesus 840, 2677-831 Leiria",1985-12-10
34249282272,284722269,Henrique Martins,936400268,"Praça de São Roque da Lameira 228, 3297-661 Vila do Conde",2016-02-13
52194355247,224945814,Mélanie de Lima,967199362,"Alameda Kevin Leal 44, 2313-136 Gouveia",1916-11-25
31628571251,182043235,Renata Amaral-Matias,916288194,"Largo Luísa Henriques 196, 8907-911 Marco de Canaveses",1959-08-06
67800355858,115709853,Samuel de Lourenço,939030342,"Largo Núria Castro 46, 0907-688 Santiago do Cacém",1971-01-30
55126049303,251047107,Fernando Ferreira,960596228,"Rua Ferreira 7, 3655-615 Agualva-Cacém",1924-05-28
45963503490,265529634,Débora Amaral,961418518,"Avenida da Póvoa 19, 2644-366 Peso da Régua",1977-09-16
51235842231,259435268,Nelson Henriques,913114138,"Rua Bárbara Miranda 78, 0454-466 Serpa",1967-08-23
89888986798,244829317,Sara do Ferreira,961299702,"Alameda de Gomes 81, 2329-058 Beja",1976-07-28
32853614332,184362338,Carminho Correia-Mendes,936648623,"Avenida Constança Fonseca 45, 1948-089 Bragança",1942-12-03
43027520519,208104132,Nair Jesus,937910272,"Praça de Cunha 7, 6856-542 Tomar",2017-04-02
63173952903,148047256,Caetana Carneiro,916831465,"Avenida das Rolas 99, 1282-481 Tarouca",1923-03-06
27800578527,219043041,Bruno Vieira,917109728,"Avenida do Anjo da Guarda 134, 1350-973 Trofa",1994-07-20
78594959175,385526588,Miriam Pires,914345913,"Praça Escuro 47, 6515-488 Serpa",1986-06-23
51415025354,394011841,Ângela-Mélanie Ramos,913870504,"Avenida dos Vice-reis 46, 9453-922 Figueira da Foz",2019-01-20
74760424016,116721486,Miguel Domingues,961534482,"Largo de S. Macário 2, 0447-815 Loures",2021-08-30
39345979494,331375577,Nuno Miranda,916565712,"Largo Naiara Faria 15, 8356-522 Oliveira do Hospital",1997-07-02
85251658936,279061771,João Miranda-Maia,961039285,"Rua do Ródano 190, 3473-112 Entroncamento",1958-05-10
82730311088,150360104,Fernando Ribeiro,932461466,"Alameda da Asprela 37, 3377-417 Alcácer do Sal",1926-08-05
99758297606,123429307,Simão Maia,939650916,"Rua de Silva 54, 7222-389 Vila do Conde",1982-08-03
48729950557,137220096,André Ferreira,965631718,"Rua Andreia Henriques 839, 2543-715 Fafe",1948-08-22
68417532270,200075574,Melissa Almeida-Carvalho,910996864,"Avenida de Maria Pia 839, 2324-891 Ourém",1938-06-02
19529770939,198987339,Renato Paiva,932943831,"Avenida Gaspar 184, 7999-418 Amadora",1913-10-28
37283671542,103883602,Nelson da Azevedo,960013515,"Rua do Conde de Óbidos 208, 3400-072 Estremoz",1990-02-03
85229843867,311758711,Francisca Martins,963711045,"Alameda Abreu 13, 9309-032 Torres Vedras",2019-04-18
58842898493,104020419,Bianca Leal,939306017,"Avenida Irina Torres 47, 4372-219 Costa da Caparica",1998-08-12
82051668297,242975165,Sebastião Jesus,919555967,"Rua das Antas 44, 3189-432 Fiães",1930-01-19
38753011186,309489214,Mariana Vicente,966380986,"Largo Alice Campos 83, 4175-066 Gandra",1997-11-29
87627789093,309912199,William Gomes,960701352,"Alameda de S. Brás 57, 7624-934 Portalegre",2024-03-27
17645294208,371168066,Micael Almeida,910788919,"Travessa Cruz 5, 9841-439 Covilhã",1963-05-09
81837575160,210571667,Lia Guerreiro,914066883,"Largo de Reis 52, 6821-469 Fundão",1967-09-26
84675812686,358600148,Lorena-Alice Fernandes,915133495,"Travessa de Santa Clara 176, 1787-876 Lagoa",1946-04-13
88252529333,105428611,Isaac Torres,931906674,"Rua Pinto 73, 1707-517 Entroncamento",1977-10-04
52116072585,353358004,Denis Tavares,939226662,"Travessa de Luiz I 88, 6767-137 Seia",1985-09-16
56067744965,302279730,Kevin Melo,939181138,"Rua de Neto 4, 1375-222 Ovar",1997-06-15
92172727181,302244457,Sofia Freitas,938229541,"Rua Artur Figueiredo 531, 8332-958 São João da Madeira",2003-03-15
65578595897,282400817,Júlia Araújo,918841419,"Avenida do Parque 25, 9831-554 Esmoriz",1928-03-04
17683238393,196822612,Joel Sousa,933887635,"Praça de Dom Fradique 38, 0004-722 Amora",1954-06-10
75905605559,330723929,Nuno Cruz,919075302,"Largo Érica Vieira 96, 6985-871 Costa da Caparica",1968-10-16
43435662065,315220271,Filipa Barros,939021051,"Travessa de Belém 16, 7173-533 Olhão",1972-02-26
63195634160,180796034,Amélia Lourenço-Loureiro,963409718,"Avenida Matias 115, 9829-642 Guarda",2011-03-19
61621825266,273900846,Frederico Rodrigues,938862903,"Alameda Sá 4, 6979-115 Marco de Canaveses",2005-02-09
28843322822,362429540,Nicole-Lara Machado,911556597,"Rua de Miranda 3, 2115-719 Silves",1953-08-27
37982625959,333217636,Noa Cruz,910295818,"Alameda de Reis 6, 0312-909 Santa Cruz",1955-08-03
30523379701,249222723,Lara Almeida,963123239,"Praça do Machado 23, 8531-812 Horta",1994-01-08
78792352451,323023002,Márcio Loureiro-Ferreira,965355123,"Avenida do Brasil (Porto) 76, 2648-829 Santarém",1915-07-05
57087333040,378139499,Kyara do Fonseca,939835732,"Praça Paris (Nascente) 7, 4952-301 Ermesinde",1940-02-23
98311165179,249816123,Isabel Campos,965588057,"Largo de Amorim 80, 3027-578 Mealhada",1913-10-03
